"Year","Team","GP","W","L","Tie","Pts","GF","GA","PIM","Att.","Coach","Playoff","OTL","SOL"
1955,"Chicago Blackhawks",70,13,40,17,43,161,235,733,6299,"Frank Eddolls","Out of Playoffs",NA,NA
1956,"Montreal Canadiens",70,45,15,10,100,222,131,977,13590,"Hector ""Toe"" Blake","Won Championship",NA,NA
1956,"Detroit Red Wings",70,30,24,16,76,183,148,794,12068,"Jim Skinner","Lost in Finals",NA,NA
1956,"New York Rangers",70,32,28,10,74,204,203,911,12635,"Phil Watson","Lost in round 1",NA,NA
1956,"Toronto Maple Leafs",70,24,33,13,61,153,181,1051,13165,"Francis ""King"" Clancy","Lost in round 1",NA,NA
1956,"Boston Bruins",70,23,34,13,59,147,185,929,10287,"Milt Schmidt","Out of Playoffs",NA,NA
1956,"Chicago Blackhawks",70,19,39,12,50,155,216,826,7431,"Dick Irvin","Out of Playoffs",NA,NA
1957,"Detroit Red Wings",70,38,20,12,88,198,157,656,12890,"Jim Skinner","Lost in round 1",NA,NA
1957,"Montreal Canadiens",70,35,23,12,82,210,155,870,14035,"Hector ""Toe"" Blake","Won Championship",NA,NA
1957,"Boston Bruins",70,34,24,12,80,195,174,978,12396,"Milt Schmidt","Lost in Finals",NA,NA
1957,"New York Rangers",70,26,30,14,66,184,227,870,12563,"Phil Watson","Lost in round 1",NA,NA
1957,"Toronto Maple Leafs",70,21,34,15,57,174,192,829,13118,"Howie Meeker","Out of Playoffs",NA,NA
1957,"Chicago Blackhawks",70,16,39,15,47,169,225,809,8379,"Tommy Ivan","Out of Playoffs",NA,NA
1958,"Montreal Canadiens",70,43,17,10,96,250,158,945,10784,"Hector ""Toe"" Blake","Won Championship",NA,NA
1958,"New York Rangers",70,32,25,13,77,195,188,781,12606,"Phil Watson","Lost in round 1",NA,NA
1958,"Detroit Red Wings",70,29,29,12,70,176,207,758,NA,"Sid Abel","Lost in round 1",NA,NA
1958,"Boston Bruins",70,27,28,15,69,199,194,849,12157,"Milt Schmidt","Lost in Finals",NA,NA
1958,"Chicago Blackhawks",70,24,39,7,55,163,202,906,10784,"Ivan, Pilous {+}","Out of Playoffs",NA,NA
1958,"Toronto Maple Leafs",70,21,38,11,53,192,226,861,NA,"","Out of Playoffs",NA,NA
1959,"Montreal Canadiens",70,39,18,13,91,258,158,760,NA,"Hector ""Toe"" Blake","Won Championship",NA,NA
1959,"Boston Bruins",70,32,29,9,73,205,215,838,12615,"Milt Schmidt","Lost in round 1",NA,NA
1959,"Chicago Blackhawks",70,28,29,13,69,197,208,921,NA,"Rudy Pilous","Lost in round 1",NA,NA
1959,"Toronto Maple Leafs",70,27,32,11,65,189,201,846,NA,"","Lost in Finals",NA,NA
1959,"New York Rangers",70,26,32,12,64,201,217,860,12950,"Phil Watson","Out of Playoffs",NA,NA
1959,"Detroit Red Wings",70,25,37,8,58,167,218,613,NA,"Sid Abel","Out of Playoffs",NA,NA
1960,"Montreal Canadiens",70,40,18,12,92,255,178,756,NA,"Hector ""Toe"" Blake","Won Championship",NA,NA
1960,"Toronto Maple Leafs",70,35,26,9,79,199,195,859,NA,"George ""Punch"" Imlach","Lost in Finals",NA,NA
1960,"Chicago Blackhawks",70,28,29,13,69,191,180,970,NA,"Rudy Pilous","Lost in round 1",NA,NA
1960,"Detroit Red Wings",70,26,29,15,67,186,197,538,NA,"Sid Abel","Lost in round 1",NA,NA
1960,"Boston Bruins",70,28,34,8,64,220,241,932,12861,"Milt Schmidt","Out of Playoffs",NA,NA
1960,"New York Rangers",70,17,38,15,49,187,247,850,12503,"Watson, Pike {+}","Out of Playoffs",NA,NA
1961,"Montreal Canadiens",70,41,19,10,92,254,188,811,NA,"Hector ""Toe"" Blake","Lost in round 1",NA,NA
1961,"Toronto Maple Leafs",70,39,19,12,90,234,176,844,NA,"George ""Punch"" Imlach","Lost in round 1",NA,NA
1961,"Chicago Blackhawks",70,29,24,17,75,198,180,1072,NA,"Rudy Pilous","Won Championship",NA,NA
1961,"Detroit Red Wings",70,25,29,16,66,195,215,655,NA,"Sid Abel","Lost in Finals",NA,NA
1961,"New York Rangers",70,22,38,10,54,204,248,591,11575,"Alf Pike","Out of Playoffs",NA,NA
1961,"Boston Bruins",70,15,42,13,43,176,254,810,10907,"Milt Schmidt","Out of Playoffs",NA,NA
1962,"Montreal Canadiens",70,42,14,14,98,259,166,818,NA,"Hector ""Toe"" Blake","Lost in round 1",NA,NA
1962,"Toronto Maple Leafs",70,37,22,11,85,232,180,762,NA,"George ""Punch"" Imlach","Won Championship",NA,NA
1962,"Chicago Blackhawks",70,31,26,13,75,217,186,894,11829,"Rudy Pilous","Lost in Finals",NA,NA
1962,"New York Rangers",70,26,32,12,64,195,207,668,11514,"Doug Harvey","Lost in round 1",NA,NA
1962,"Detroit Red Wings",70,23,33,14,60,184,219,684,9143,"Sid Abel","Out of Playoffs",NA,NA
1962,"Boston Bruins",70,15,47,8,38,177,306,712,10627,"Phil Watson","Out of Playoffs",NA,NA
1963,"Toronto Maple Leafs",70,35,23,12,82,221,180,816,14219,"George ""Punch"" Imlach","Won Championship",NA,NA
1963,"Chicago Blackhawks",70,32,21,17,81,194,178,906,13793,"Rudy Pilous","Lost in round 1",NA,NA
1963,"Montreal Canadiens",70,28,19,23,79,225,183,751,14279,"Hector ""Toe"" Blake","Lost in round 1",NA,NA
1963,"Detroit Red Wings",70,32,25,13,77,200,194,964,11546,"Sid Abel","Lost in Finals",NA,NA
1963,"New York Rangers",70,22,36,12,56,211,233,657,13158,"Patrick, Sullivan {+}","Out of Playoffs",NA,NA
1963,"Boston Bruins",70,14,39,17,45,198,281,636,11051,"Watson, Schmidt {+}","Out of Playoffs",NA,NA
1964,"Montreal Canadiens",70,36,21,13,85,209,167,982,13961,"Hector ""Toe"" Blake","Lost in round 1",NA,NA
1964,"Chicago Blackhawks",70,36,22,12,84,218,169,1116,16616,"Billy Reay","Lost in round 1",NA,NA
1964,"Toronto Maple Leafs",70,33,25,12,78,192,172,928,14132,"George ""Punch"" Imlach","Won Championship",NA,NA
1964,"Detroit Red Wings",70,30,29,11,71,191,204,771,10406,"Sid Abel","Lost in Finals",NA,NA
1964,"New York Rangers",70,22,38,10,54,186,242,715,12443,"George ""Red"" Sullivan","Out of Playoffs",NA,NA
1964,"Boston Bruins",70,18,40,12,48,170,212,858,12051,"Milt Schmidt","Out of Playoffs",NA,NA
1965,"Detroit Red Wings",70,40,23,7,87,224,175,1121,11931,"Sid Abel","Lost in round 1",NA,NA
1965,"Montreal Canadiens",70,36,23,11,83,211,185,1033,14159,"Hector ""Toe"" Blake","Won Championship",NA,NA
1965,"Chicago Blackhawks",70,34,28,8,76,224,176,1051,17184,"Billy Reay","Lost in Finals",NA,NA
1965,"Toronto Maple Leafs",70,30,26,14,74,204,173,1068,14363,"George ""Punch"" Imlach","Lost in round 1",NA,NA
1965,"New York Rangers",70,20,38,12,52,179,246,760,11878,"George ""Red"" Sullivan","Out of Playoffs",NA,NA
1965,"Boston Bruins",70,21,43,6,48,166,253,946,11139,"Milt Schmidt","Out of Playoffs",NA,NA
1966,"Montreal Canadiens",70,41,21,8,90,239,173,884,14516,"Hector ""Toe"" Blake","Won Championship",NA,NA
1966,"Chicago Blackhawks",70,37,25,8,82,240,187,815,18026,"Billy Reay","Lost in round 1",NA,NA
1966,"Toronto Maple Leafs",70,34,25,11,79,208,187,811,14887,"George ""Punch"" Imlach","Lost in round 1",NA,NA
1966,"Detroit Red Wings",70,31,27,12,74,221,194,804,12771,"Sid Abel","Lost in Finals",NA,NA
1966,"Boston Bruins",70,21,43,6,48,174,275,787,11584,"Milt Schmidt","Out of Playoffs",NA,NA
1966,"New York Rangers",70,18,41,11,47,195,261,894,12247,"Sullivan, Francis {+}","Out of Playoffs",NA,NA
1967,"Chicago Blackhawks",70,41,17,12,94,264,170,0,17750,"Billy Reay","Lost in round 1",NA,NA
1967,"Montreal Canadiens",70,32,25,13,77,202,188,0,14494,"Hector ""Toe"" Blake","Lost in Finals",NA,NA
1967,"Toronto Maple Leafs",70,32,27,11,75,204,211,0,15766,"George ""Punch"" Imlach","Won Championship",NA,NA
1967,"New York Rangers",70,30,28,12,72,188,189,0,13493,"Emile Francis","Lost in round 1",NA,NA
1967,"Detroit Red Wings",70,27,39,4,58,212,241,0,13427,"Sid Abel","Out of Playoffs",NA,NA
1967,"Boston Bruins",70,17,43,10,44,182,253,0,12706,"Harry Sinden","Out of Playoffs",NA,NA
1968,"Montreal Canadiens",74,42,22,10,94,236,167,700,15137,"Hector ""Toe"" Blake","Won Championship",NA,NA
1968,"New York Rangers",74,39,23,12,90,226,183,673,15681,"Emile Francis","Lost in round 1",NA,NA
1968,"Boston Bruins",74,37,27,10,84,259,216,1043,13832,"Harry Sinden","Lost in round 1",NA,NA
1968,"Chicago Blackhawks",74,32,26,16,80,212,222,606,16592,"Billy Reay","Lost in round 2",NA,NA
1968,"Toronto Maple Leafs",74,33,31,10,76,209,176,634,15948,"George ""Punch"" Imlach","Out of Playoffs",NA,NA
1968,"Detroit Red Wings",74,27,35,12,66,245,257,759,12692,"Sid Abel","Out of Playoffs",NA,NA
1968,"Philadelphia Flyers",74,31,32,11,73,173,179,987,9625,"Keith ""Bingo"" Allen","Lost in round 1",NA,NA
1968,"Los Angeles Kings",74,31,33,10,72,200,224,810,8037,"Leonard ""Red"" Kelly","Lost in round 1",NA,NA
1968,"St. Louis Blues",74,27,31,16,70,177,191,792,8897,"William ""Scotty"" Bowman","Lost in Finals",NA,NA
1968,"Minnesota North Stars",74,27,32,15,69,191,226,738,11861,"Wren Blair","Lost in round 2",NA,NA
1968,"Pittsburgh Penguins",74,27,34,13,67,195,216,554,7407,"George ""Red"" Sullivan","Out of Playoffs",NA,NA
1968,"Oakland Seals",74,15,42,17,47,153,219,787,4890,"Olmstead, Fashoway {+}","Out of Playoffs",NA,NA
1969,"Montreal Canadiens",76,46,19,11,103,271,202,780,17158,"Claude Ruel","Won Championship",NA,NA
1969,"Boston Bruins",76,42,18,16,100,303,221,1297,14833,"Harry Sinden","Lost in round 2",NA,NA
1969,"New York Rangers",76,41,26,9,91,231,196,806,16603,"Geoffrion, Francis {+}","Lost in round 1",NA,NA
1969,"Toronto Maple Leafs",76,35,26,15,85,234,217,961,16446,"George ""Punch"" Imlach","Lost in round 1",NA,NA
1969,"Detroit Red Wings",76,33,31,12,78,239,221,885,13054,"Bill Gadsby","Out of Playoffs",NA,NA
1969,"Chicago Blackhawks",76,34,33,9,77,280,246,842,16916,"Billy Reay","Out of Playoffs",NA,NA
1969,"St. Louis Blues",76,37,25,14,88,204,157,838,14436,"William ""Scotty"" Bowman","Lost in Finals",NA,NA
1969,"Oakland Seals",76,29,36,11,69,219,251,811,4584,"Fred Glover","Lost in round 1",NA,NA
1969,"Philadelphia Flyers",76,20,35,21,61,174,225,964,11196,"Keith ""Bingo"" Allen","Lost in round 1",NA,NA
1969,"Los Angeles Kings",76,24,42,10,58,185,260,698,8802,"Leonard ""Red"" Kelly","Lost in round 2",NA,NA
1969,"Minnesota North Stars",76,18,43,15,51,189,270,862,12919,"Muckler, Blair {+}","Out of Playoffs",NA,NA
1969,"Pittsburgh Penguins",76,20,45,11,51,189,252,677,6008,"George ""Red"" Sullivan","Out of Playoffs",NA,NA
1970,"Boston Bruins",76,40,17,19,99,277,216,1196,14833,"Harry Sinden","Won Championship",NA,NA
1970,"Chicago Blackhawks",76,45,22,9,99,250,170,901,16714,"Billy Reay","Lost in round 2",NA,NA
1970,"Detroit Red Wings",76,40,21,15,95,246,199,907,14148,"Gadsby, Abel {+}","Lost in round 1",NA,NA
1970,"Montreal Canadiens",76,38,22,16,92,244,201,892,17214,"Claude Ruel","Out of Playoffs",NA,NA
1970,"New York Rangers",76,38,22,16,92,246,189,853,17212,"Emile Francis","Lost in round 1",NA,NA
1970,"Toronto Maple Leafs",76,29,34,13,71,222,242,898,16452,"John McLellan","Out of Playoffs",NA,NA
1970,"St. Louis Blues",76,37,27,12,86,224,179,876,16389,"William ""Scotty"" Bowman","Lost in Finals",NA,NA
1970,"Pittsburgh Penguins",76,26,38,12,64,182,238,1038,6998,"Leonard ""Red"" Kelly","Lost in round 2",NA,NA
1970,"Minnesota North Stars",76,19,35,22,60,224,257,1008,14317,"Blair, Burns {+}","Lost in round 1",NA,NA
1970,"Philadelphia Flyers",76,17,35,24,58,197,225,1123,13372,"Vic Stasiuk","Out of Playoffs",NA,NA
1970,"Oakland Seals",76,22,40,14,58,169,243,845,6225,"Fred Glover","Lost in round 1",NA,NA
1970,"Los Angeles Kings",76,14,52,10,38,168,290,969,8451,"Laycoe, Wilson {+}","Out of Playoffs",NA,NA
1971,"Boston Bruins",78,57,14,7,121,399,207,1154,14993,"Tom Johnson","Lost in round 1",NA,NA
1971,"New York Rangers",78,49,18,11,109,259,177,952,17242,"Emile Francis","Lost in round 2",NA,NA
1971,"Montreal Canadiens",78,42,23,13,97,291,216,1271,17055,"Ruel, MacNeil {+}","Won Championship",NA,NA
1971,"Toronto Maple Leafs",78,37,33,8,82,248,211,1133,16453,"John McLellan","Lost in round 1",NA,NA
1971,"Buffalo Sabres",78,24,39,15,63,217,291,1188,9721,"George ""Punch"" Imlach","Out of Playoffs",NA,NA
1971,"Vancouver Canucks",78,24,46,8,56,229,296,1371,15577,"Hal Laycoe","Out of Playoffs",NA,NA
1971,"Detroit Red Wings",78,22,45,11,55,209,308,988,13132,"Harkness, Barkley {+}","Out of Playoffs",NA,NA
1971,"Chicago Blackhawks",78,49,20,9,107,277,184,1280,NA,"Billy Reay","Lost in Finals",NA,NA
1971,"St. Louis Blues",78,34,25,19,87,223,208,1092,18238,"Arbour, Bowman {+}","Lost in round 1",NA,NA
1971,"Philadelphia Flyers",78,28,33,17,73,207,225,1060,14131,"Vic Stasiuk","Lost in round 1",NA,NA
1971,"Minnesota North Stars",78,28,34,16,72,191,223,898,14503,"Jack Gordon","Lost in round 2",NA,NA
1971,"Los Angeles Kings",78,25,40,13,63,239,303,775,8221,"Larry Regan","Out of Playoffs",NA,NA
1971,"Pittsburgh Penguins",78,21,37,20,62,221,240,1079,9671,"Leonard ""Red"" Kelly","Out of Playoffs",NA,NA
1971,"California Golden Seals",78,20,53,5,45,199,320,937,5358,"Fred Glover","Out of Playoffs",NA,NA
1972,"Boston Bruins",78,54,13,11,119,330,204,1112,14995,"Tom Johnson","Won Championship",NA,NA
1972,"New York Rangers",78,48,17,13,109,317,192,1010,17250,"Emile Francis","Lost in Finals",NA,NA
1972,"Montreal Canadiens",78,46,16,16,108,307,205,783,17417,"William ""Scotty"" Bowman","Lost in round 1",NA,NA
1972,"Toronto Maple Leafs",78,33,31,14,80,209,208,887,16451,"McLellan, Clancy {+}","Lost in round 1",NA,NA
1972,"Detroit Red Wings",78,33,35,10,76,261,262,850,13305,"Barkley, Wilson {+}","Out of Playoffs",NA,NA
1972,"Buffalo Sabres",78,16,43,19,51,203,289,831,15324,"Imlach, Crozier {+}","Out of Playoffs",NA,NA
1972,"Vancouver Canucks",78,20,50,8,48,203,297,1092,15284,"Hal Laycoe","Out of Playoffs",NA,NA
1972,"Chicago Blackhawks",78,46,17,15,107,256,166,844,NA,"Billy Reay","Lost in round 2",NA,NA
1972,"Minnesota North Stars",78,37,29,12,86,212,191,853,15319,"Jack Gordon","Lost in round 1",NA,NA
1972,"St. Louis Blues",78,28,39,11,67,208,247,1150,18376,"Abel, McCreary, Arbour {+}","Lost in round 2",NA,NA
1972,"Philadelphia Flyers",78,26,38,14,66,200,236,1233,14379,"Fred Shero","Out of Playoffs",NA,NA
1972,"Pittsburgh Penguins",78,26,38,14,66,220,258,978,9634,"Leonard ""Red"" Kelly","Lost in round 1",NA,NA
1972,"California Golden Seals",78,21,39,18,60,216,288,1007,6091,"Glover, Stasiuk {+}","Out of Playoffs",NA,NA
1972,"Los Angeles Kings",78,20,49,9,49,206,305,719,8676,"Regan, Glover {+}","Out of Playoffs",NA,NA
1973,"Montreal Canadiens",78,52,10,16,120,329,184,783,17078,"William ""Scotty"" Bowman","Won Championship",NA,NA
1973,"Boston Bruins",78,51,22,5,107,330,235,1097,15003,"Johnson, Guidolin {+}","Lost in round 1",NA,NA
1973,"New York Rangers",78,47,23,8,102,297,208,765,17494,"Emile Francis","Lost in round 2",NA,NA
1973,"Buffalo Sabres",78,37,27,14,88,257,219,940,15632,"Joe Crozier","Lost in round 1",NA,NA
1973,"Detroit Red Wings",78,37,29,12,86,265,243,893,13872,"Johnny Wilson","Out of Playoffs",NA,NA
1973,"Toronto Maple Leafs",78,27,41,10,64,247,279,716,16384,"John McLellan","Out of Playoffs",NA,NA
1973,"Vancouver Canucks",78,22,47,9,53,233,339,943,15890,"Vic Stasiuk","Out of Playoffs",NA,NA
1973,"New York Islanders",78,12,60,6,30,170,347,881,11966,"Goyette, Ingarfield {+}","Out of Playoffs",NA,NA
1973,"Chicago Blackhawks",78,42,27,9,93,284,225,864,NA,"Billy Reay","Lost in Finals",NA,NA
1973,"Minnesota North Stars",78,37,30,11,85,254,230,881,15264,"Jack Gordon","Lost in round 1",NA,NA
1973,"Philadelphia Flyers",78,37,30,11,85,296,256,1756,16063,"Fred Shero","Lost in round 2",NA,NA
1973,"St. Louis Blues",78,32,34,12,76,233,251,1195,18601,"Arbour, Talbot {+}","Lost in round 1",NA,NA
1973,"Los Angeles Kings",78,31,36,11,73,232,245,888,10833,"Bob Pulford","Out of Playoffs",NA,NA
1973,"Pittsburgh Penguins",78,32,37,9,73,257,265,866,11195,"Kelly, Schinkel {+}","Out of Playoffs",NA,NA
1973,"Atlanta Flames",78,25,38,15,65,191,239,852,12516,"Bernie ""Boom-Boom"" Geoffrion","Out of Playoffs",NA,NA
1973,"California Golden Seals",78,16,46,16,48,213,323,840,5354,"Young, Glover {+}","Out of Playoffs",NA,NA
1974,"Boston Bruins",78,52,17,9,113,349,221,968,14842,"Armand ""Bep"" Guidolin","Lost in Finals",NA,NA
1974,"Montreal Canadiens",78,45,24,9,99,293,240,761,17131,"William ""Scotty"" Bowman","Lost in round 1",NA,NA
1974,"New York Rangers",78,40,24,14,94,300,251,782,17435,"Emile Francis","Lost in round 2",NA,NA
1974,"Toronto Maple Leafs",78,35,27,16,86,274,230,903,16480,"Leonard ""Red"" Kelly","Lost in round 1",NA,NA
1974,"Buffalo Sabres",78,32,34,12,76,242,250,787,15668,"Joe Crozier","Out of Playoffs",NA,NA
1974,"Detroit Red Wings",78,29,39,10,68,255,319,917,13068,"Garvin, Delvecchio {+}","Out of Playoffs",NA,NA
1974,"Vancouver Canucks",78,24,43,11,59,224,296,952,15729,"McCreary, Maloney {+}","Out of Playoffs",NA,NA
1974,"New York Islanders",78,19,41,18,56,182,247,1075,12727,"Al Arbour","Out of Playoffs",NA,NA
1974,"Philadelphia Flyers",78,50,16,12,112,273,164,1750,17007,"Fred Shero","Won Championship",NA,NA
1974,"Chicago Blackhawks",78,41,14,23,105,272,164,877,NA,"Billy Reay","Lost in round 2",NA,NA
1974,"Los Angeles Kings",78,33,33,12,78,233,231,1055,11113,"Bob Pulford","Lost in round 1",NA,NA
1974,"Atlanta Flames",78,30,34,14,74,214,238,841,14162,"Bernie ""Boom-Boom"" Geoffrion","Lost in round 1",NA,NA
1974,"Pittsburgh Penguins",78,28,41,9,65,242,273,950,10159,"Marc Boileau","Out of Playoffs",NA,NA
1974,"St. Louis Blues",78,26,40,12,64,206,248,1147,18009,"Talbot, Angotti {+}","Out of Playoffs",NA,NA
1974,"Minnesota North Stars",78,23,38,17,63,235,275,821,15251,"","Out of Playoffs",NA,NA
1974,"California Golden Seals",78,13,55,10,36,195,342,651,4850,"Glover, Johnston {+}","Out of Playoffs",NA,NA
1975,"Buffalo Sabres",80,49,16,15,113,354,240,1229,15668,"Floyd Smith","Lost in Finals",NA,NA
1975,"Boston Bruins",80,40,26,14,94,345,245,1153,14637,"Don Cherry","Lost in round 1",NA,NA
